state,county,customersServed,customersAffected,percentageWithPower,lastUpdatedTime,latitude,longitude,utility,time pulled,percentWithoutPower,date,time
L,ST. TAMMANY,4187,0,100.0,1753197747014,30.397961783439495,-90.02031847133759,Entergy,2025-07-22 15:23:20.246720
L,TANGIPAHOA,67858,16,100.0,1753197747014,30.60185393258427,-90.36870786516853,Entergy,2025-07-22 15:23:20.246720
L,TENSAS,3613,0,100.0,1753197747014,32.045488372093025,-91.31625581395349,Entergy,2025-07-22 15:23:20.246720
L,TERREBONNE,27487,13,100.0,1753197747014,29.472579505300352,-90.93692579505301,Entergy,2025-07-22 15:23:20.246720
L,UNION,3524,0,100.0,1753197747014,32.76151639344262,-92.28840163934426,Entergy,2025-07-22 15:23:20.246720
L,VERMILION,8600,0,100.0,1753197747014,30.067826086956522,-92.4074154589372,Entergy,2025-07-22 15:23:20.246720
L,VERNON,1802,0,100.0,1753197747014,31.185531914893616,-92.98851063829787,Entergy,2025-07-22 15:23:20.246720
L,W. BATON ROUGE,13528,0,100.0,1753197747014,30.509285714285713,-91.29169642857143,Entergy,2025-07-22 15:23:20.246720
L,W. CARROLL,2528,0,100.0,1753197747014,32.80550847457627,-91.43223163841807,Entergy,2025-07-22 15:23:20.246720
L,W. FELICIANA,1870,0,100.0,1753197747014,30.87159509202454,-91.41463190184048,Entergy,2025-07-22 15:23:20.246720
L,WASHINGTON,8362,0,100.0,1753197747014,30.81416901408451,-89.98884507042254,Entergy,2025-07-22 15:23:20.246720
L,WEBSTER,11535,1,100.0,1753197747014,32.75104651162791,-93.3486046511628,Entergy,2025-07-22 15:23:20.246720
L,WINN,4748,0,100.0,1753197747014,31.94213043478261,-92.75565217391303,Entergy,2025-07-22 15:23:20.246720
L,ACADIA,6698,2,100.0,1753203627020,30.216405750798724,-92.52246006389775,Entergy,2025-07-22,5:02
L,ALLEN,155,0,100.0,1753203627020,30.605661764705882,-92.68816176470588,Entergy,2025-07-22,5:02
L,ASCENSION,46593,3,100.0,1753203627020,30.258093385214007,-90.84015564202333,Entergy,2025-07-22,5:02
L,ASSUMPTION,10498,0,100.0,1753203627020,29.852919254658385,-91.12534161490683,Entergy,2025-07-22,5:02
L,AVOYELLES,5751,0,100.0,1753203627020,31.22366515837104,-92.00380090497738,Entergy,2025-07-22,5:02
L,BEAUREGARD,7,0,100.0,1753203627020,30.51493670886076,-93.52405063291138,Entergy,2025-07-22,5:02
L,BIENVILLE,7373,0,100.0,1753203627020,32.30282122905028,-93.09335195530726,Entergy,2025-07-22,5:02
L,BOSSIER,40,0,100.0,1753203627020,32.62642228739003,-93.46624633431084,Entergy,2025-07-22,5:02
L,CALCASIEU,88383,5,100.0,1753203627020,30.221415384615383,-93.57326153846154,Entergy,2025-07-22,5:02
L,CALDWELL,6270,0,100.0,1753203627020,32.13552,-91.95332,Entergy,2025-07-22,5:02
